"organism_key","taxon","code"
"NBNORG0000103905","Endectyon (Endectyon) delaubenfelsi",5
"NBNORG0000103918","Haliclona (Gellius) angulata",5
"NBNORG0000104023","Spinularia spinularia",5
"NBNORG0000104027","Spongionella pulchella",4
"NBNORG0000104264","Anemonia sulcata",4
"NBNORG0000104265","Capnea sanguinea",1
"NBNORG0000104267","Diadumene lineata",2
"NBNORG0000105119","Stenosoma lancifer",3
"NBNORG0000105443","Acanella arbuscula",6
"NBNORG0000105445","Acanthogorgia armata",6
"NBNORG0000105446","Acanthogorgia hirsuta",6
"NBNORG0000105447","Acanthogorgia truncata",6
"NBNORG0000105448","Anomocora fecunda",6
"NBNORG0000105449","Anthothela grandiflora",6
"NBNORG0000105450","Antipathes dichotoma",6
"NBNORG0000105451","Antipathes erinaceus",6
"NBNORG0000105452","Antipathes virgata",6
"NBNORG0000105453","Aulocyathus atlanticus",6
"NBNORG0000105454","Balanophyllia (Balanophyllia) thalassae",6
"NBNORG0000105455","Bathypathes patula",6
"NBNORG0000105456","Bebryce mollis",6
"NBNORG0000105457","Callogorgia verticillata",6
"NBNORG0000105458","Calyptrophora josephinae",6
"NBNORG0000105459","Candidella imbricata",6
"NBNORG0000105460","Caryophyllia (Caryophyllia) abyssorum",6
"NBNORG0000105461","Caryophyllia (Caryophyllia) alberti",6
"NBNORG0000105462","Caryophyllia (Caryophyllia) ambrosia",6
"NBNORG0000105463","Caryophyllia (Caryophyllia) atlantica",6
"NBNORG0000105464","Caryophyllia (Caryophyllia) calveri",6
"NBNORG0000105465","Caryophyllia (Caryophyllia) cyathus",6
"NBNORG0000105466","Caryophyllia (Caryophyllia) foresti",6
"NBNORG0000105467","Caryophyllia (Caryophyllia) sarsiae",6
"NBNORG0000105468","Caryophyllia (Caryophyllia) seguenzae",6
"NBNORG0000105469","Chelidonisis aurantiaca",6
"NBNORG0000105470","Chrysogorgia elegans",6
"NBNORG0000105471","Chrysogorgia pentasticha",6
"NBNORG0000105472","Cladocora debilis",6
"NBNORG0000105473","Coenocyathus anthophyllites",6
"NBNORG0000105474","Concentrotheca laevigata",6
"NBNORG0000105475","Corallium johnsoni",6
"NBNORG0000105476","Corallium niobe",6
"NBNORG0000105477","Corallium tricolor",6
"NBNORG0000105478","Dasmosmilia lymani",6
"NBNORG0000105479","Dasmosmilia variegata",6
"NBNORG0000105480","Deltocyathus eccentricus",6
"NBNORG0000105481","Deltocyathus italicus",6
"NBNORG0000105482","Deltocyathus moseleyi",6
"NBNORG0000105483","Dendrophyllia alternata",6
"NBNORG0000105484","Dentomuricea meteor",6
"NBNORG0000105485","Desmophyllum dianthus",6
"NBNORG0000105486","Eguchipsammia gaditana",6
"NBNORG0000105488","Enallopsammia rostrata",6
"NBNORG0000105489","Eunicella dubia",6
"NBNORG0000105490","Flabellum (Flabellum) chunii",6
"NBNORG0000105491","Flabellum (Ulocyathus) alabastrum",6
"NBNORG0000105492","Fungiacyathus (Bathyactis) crispus",6
"NBNORG0000105493","Fungiacyathus (Bathyactis) marenzelleri",6
"NBNORG0000105494","Fungiacyathus (Fungiacyathus) fragilis",6
"NBNORG0000105495","Isidella elongata",6
"NBNORG0000105496","Javania cailleti",6
"NBNORG0000105497","Javania pseudoalabastra",6
"NBNORG0000105498","Keratoisis grandis",6
"NBNORG0000105499","Keratoisis grayi",6
"NBNORG0000105500","Keratoisis palmae",6
"NBNORG0000105501","Leiopathes glaberrima",6
"NBNORG0000105502","Leiopathes grimaldii",6
"NBNORG0000105503","Leptopsammia formosa",6
"NBNORG0000105504","Madracis profunda",6
"NBNORG0000105505","Metallogorgia melanotrichos",6
"NBNORG0000105507","Muriceides lepida",6
"NBNORG0000105508","Muriceides paucituberculata",6
"NBNORG0000105509","Narella allmani",6
"NBNORG0000105510","Narella bellissima",6
"NBNORG0000105511","Narella versluysi",6
"NBNORG0000105512","Nicella granifera",6
"NBNORG0000105513","Paracyathus arcuatus",6
"NBNORG0000105514","Paracyathus pulchellus",6
"NBNORG0000105515","Paramuricea candida",6
"NBNORG0000105516","Paramuricea grayi",6
"NBNORG0000105517","Parantipathes hirondelle",6
"NBNORG0000105519","Peponocyathus folliculus",6
"NBNORG0000105520","Placogorgia coronata",6
"NBNORG0000105521","Placogorgia intermedia",6
"NBNORG0000105522","Placogorgia massiliensis",6
"NBNORG0000105523","Placogorgia terceira",6
"NBNORG0000105525","Premocyathus cornuformis",6
"NBNORG0000105526","Radicipes challengeri",6
"NBNORG0000105527","Schizocyathus fissilis",6
"NBNORG0000105528","Stephanocyathus (Odontocyathus) nobilis",6
"NBNORG0000105529","Stephanocyathus (Stephanocyathus) crassus",6
"NBNORG0000105530","Stephanocyathus (Stephanocyathus) moseleyanus",6
"NBNORG0000105531","Stichopathes abyssicola",6
"NBNORG0000105532","Stichopathes dissimilis",6
"NBNORG0000105533","Stichopathes richardi",6
"NBNORG0000105534","Swiftia dubia",6
"NBNORG0000105535","Tanacetipathes squamosa",6
"NBNORG0000105536","Tethocyathus variabilis",6
"NBNORG0000105537","Thesea talismani",6
"NBNORG0000105538","Thouarella (Euthouarella) hilgendorfi",6
"NBNORG0000105539","Thouarella (Thouarella) variabilis",6
"NBNORG0000105540","Titanideum obscurum",6
"NBNORG0000105541","Trochocyathus (Trochocyathus) spinosocostatus",6
"NBNORG0000105542","Vaughanella concinna",6
"NBNORG0000105544","Villogorgia bebrycoides",6
"NBNORG0000105550","Ellisella flagellum",6
"NBNORG0000105551","Stauropathes punctata",6
"NBNORG0000107877","Chaceon affinis",3
"NBNORG0000107878","Chaceon gordonae",4
